myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,task_resp.rt,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/pitchfork.jpg,1,1,stimuli/white_butterfly.png,,,,,,down,1,0,27,27,27,1,1,0.451,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/baseballbat.jpg,1,1,stimuli/grey_butterfly.png,,,,,,left,1,0,28,28,28,1,1,0.865,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/mattress.jpg,1,1,stimuli/white_butterfly.png,,,,,,left,1,0,29,29,29,1,1,0.999,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,left,stimuli/objects/sheep.jpg,0,1,stimuli/white_butterfly.png,,,,,,down,0,0,30,30,30,1,1,1.559,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,left,stimuli/objects/smartboard.jpg,0,1,stimuli/grey_butterfly.png,,,,,,right,0,0,31,31,31,1,1,0.601,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,0,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,down,stimuli/objects/athleticsock.jpg,1,1,stimuli/white_butterfly.png,,,,,,left,0,0,32,32,32,1,1,1.342,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,0,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/swordfish.jpg,0,1,stimuli/white_butterfly.png,,,,,,left,0,0,33,33,33,1,1,0.555,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/bison.jpg,1,1,stimuli/grey_butterfly.png,,,,,,up,1,0,34,34,34,1,1,1.474,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,left,stimuli/objects/masquerademask01.jpg,1,1,stimuli/grey_butterfly.png,,,,,,left,1,0,35,35,35,1,1,1.378,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/licenseplate.jpg,1,1,stimuli/white_butterfly.png,,,,,,right,1,0,36,36,36,1,1,0.981,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,down,stimuli/objects/pokerchips.jpg,0,1,stimuli/grey_butterfly.png,,,,,,right,0,0,37,37,37,1,1,0.917,,,,,,,,,,,,,,,,,,
0,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,up,stimuli/objects/butterfly5.jpg,0,1,stimuli/white_butterfly.png,,,,,,left,0,0,38,38,38,1,1,1.324,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/ducttape.jpg,1,1,stimuli/white_butterfly.png,,,,,,up,1,0,39,39,39,1,1,1.523,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/well.jpg,1,1,stimuli/grey_butterfly.png,,,,,,right,1,0,40,40,40,1,1,0.887,,,,,,,,,,,,,,,,,,
1,"[0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,left,stimuli/objects/blackolive.jpg,1,1,stimuli/white_butterfly.png,,,,,,left,1,0,41,41,41,1,1,0.814,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,24.131,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8.217,0,0,0,1,1,stimuli/grey_butterfly.png,,
,,,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1.936,0,1,1,0,1,stimuli/white_butterfly.png,,
,,,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.664
