Instr_resp_2.keys,Instr_resp_2.rt,warmup_resp.keys,warmup_resp.corr,warmup_resp.rt,myownaccuracy,respcorrs,myownaccuracyCORR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,trial_type,participant,date,expName,psychopyVersion,OS,frameRate,Instr_resp.keys,Instr_resp.rt,taskGoresp.keys,taskGoresp.rt,task_resp_3.keys,task_resp_3.corr,task_resp_3.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,list,key_resp.keys,key_resp.rt
space,65.092395,down,1,0.72144,1,[],1,0,0,0,7,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/firehydrant.jpg,1,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.55614,0,[1],1,0,1,1,17,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,down,stimuli/objects/butterfly4.jpg,0,99,stimuli/grey_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.49346,1,[1],1,0,2,2,0,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,right,stimuli/objects/tennisracket.jpg,1,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,0.607085,0,"[1,1]",1,0,3,3,3,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/cigar.jpg,0,99,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,1.01932,0,"[1,1]",1,0,4,4,18,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,up,stimuli/objects/armadillo.jpg,0,99,stimuli/white_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,1.64191,0,"[1,1]",1,0,5,5,13,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/payphone.jpg,0,99,stimuli/white_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,1.262975,1,"[1,1]",1,0,6,6,4,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,right,stimuli/objects/tire.jpg,1,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.490835,1,"[1,1,1]",1,0,7,7,6,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,right,stimuli/objects/flipflop01b.jpg,1,99,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.64181,1,"[1,1,1,1]",1,0,8,8,14,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/shed02.jpg,1,99,stimuli/grey_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.58141,1,"[1,1,1,1,1]",1,0,9,9,15,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,left,stimuli/objects/wheat.jpg,1,99,stimuli/grey_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.589365,1,"[1,1,1,1,1,1]",1,0,10,10,1,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,up,stimuli/objects/marble.jpg,1,99,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.4463,1,"[1,1,1,1,1,1,1]",1,0,11,11,2,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/corn02.jpg,1,99,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.320475,1,"[1,1,1,1,1,1,1,1]",1,0,12,12,9,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/skunk.jpg,1,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.38845,1,"[1,1,1,1,1,1,1,1,1]",1,0,13,13,19,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/motorcycle.jpg,1,99,stimuli/white_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.841545,1,"[1,1,1,1,1,1,1,1,1,1]",1,0,14,14,16,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/foosballtable.jpg,1,99,stimuli/white_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,0.70706,0,"[1,1,1,1,1,1,1,1,1,1,1]",1,0,15,15,10,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,left,stimuli/objects/anchor.jpg,0,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,0.5401,0,"[1,1,1,1,1,1,1,1,1,1,1]",1,0,16,16,11,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,left,stimuli/objects/bookshelf.jpg,0,99,stimuli/grey_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.506845,1,"[1,1,1,1,1,1,1,1,1,1,1]",1,0,17,17,20,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/toucan.jpg,1,99,stimuli/grey_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.46937,1,"[1,1,1,1,1,1,1,1,1,1,1,1]",1,0,18,18,8,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/shelf.jpg,1,99,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.70555,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0,19,19,12,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,down,stimuli/objects/toolbox02.jpg,1,99,stimuli/white_butterfly.png,1,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.77192,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0,20,20,5,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/birdfeeder.jpg,1,99,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/cashregister01.jpg,1,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,space,10.553855,space,0.84804,left,1,0.51924,0,0,0,0,1,,,,,,,,
,,,,,0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,up,stimuli/objects/birdfeeder.jpg,0,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,0,0.886615,0,1,1,1,1,,,,,,,,
,,,,,0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/microwave.jpg,0,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,0,0.389,0,2,2,2,1,,,,,,,,
,,,,,0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,left,stimuli/objects/balcony02.jpg,0,2,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,0,0.41093,0,3,3,3,1,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/file.jpg,1,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,0.73091,0,4,4,4,1,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,down,stimuli/objects/scalpel.jpg,1,2,stimuli/grey_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,1,0.92822,0,5,5,5,1,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,right,stimuli/objects/car.jpg,1,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,0.722665,0,6,6,6,1,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,left,stimuli/objects/forklift.jpg,1,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,0.41465,0,7,7,7,1,,,,,,,,
,,,,,1,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/snowglobe.jpg,1,2,stimuli/white_butterfly.png,0,4,2020-12-18_15h03.19.814,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,0.915695,0,8,8,8,1,,,,,,,,
