instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.08077,3,0.614675,0,19,19,65,1,stimuli/objects/spacerover.jpg,right,new,226,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.76353,2,1.291475,0,20,20,24,1,stimuli/objects/jaguar.jpg,left,old,185,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.095275,2,1.0996,0,21,21,93,1,stimuli/objects/slushiemachine.jpg,right,new,254,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.58881,4,0.8079,0,22,22,67,1,stimuli/objects/snowshovel.jpg,left,old,228,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.084295,3,2.673485,0,23,23,115,1,stimuli/objects/witchhat.jpg,left,old,276,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,4.88826,3,1.321885,0,24,24,134,1,stimuli/objects/bikelock.jpg,right,new,295,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.360985,3,1.34397,0,25,25,122,1,stimuli/objects/lip.jpg,right,new,283,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.84541,3,0.50327,0,26,26,57,1,stimuli/objects/spaghetti01.jpg,right,new,218,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.4189,2,0.622245,0,27,27,113,1,stimuli/objects/bluejay.jpg,right,new,274,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.78743,3,0.73769,0,28,28,32,1,stimuli/objects/cross01.jpg,right,new,193,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.867795,2,0.61021,0,29,29,145,1,stimuli/objects/rooster.jpg,right,new,306,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.817415,2,0.58867,0,30,30,19,1,stimuli/objects/zipper.jpg,right,new,180,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,3.033015,1,1.519465,0,31,31,75,1,stimuli/objects/bookshelf.jpg,left,old,236,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.224315,3,0.58246,0,32,32,8,1,stimuli/objects/cloud.jpg,left,old,169,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.91057,1,0.85989,0,33,33,157,1,stimuli/objects/eagle.jpg,right,new,318,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.829895,2,0.52325,0,34,34,22,1,stimuli/objects/crab01.jpg,left,old,183,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.894145,2,0.555385,0,35,35,91,1,stimuli/objects/shed02.jpg,right,new,252,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.817415,2,1.44397,0,36,36,148,1,stimuli/objects/snowglobe.jpg,left,old,309,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.00153,2,0.5934,0,37,37,76,1,stimuli/objects/statue.jpg,right,new,237,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.04478,2,0.89633,0,38,38,70,1,stimuli/objects/cormorant.jpg,right,new,231,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.31374,1,2.39574,0,39,39,104,1,stimuli/objects/rockingchair.jpg,left,old,265,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.68981,1,2.457075,0,40,40,11,1,stimuli/objects/dolphin01.jpg,left,old,172,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,0.98746,3,0.65171,0,41,41,3,1,stimuli/objects/bathtub.jpg,left,old,164,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.445655,3,1.19774,0,42,42,149,1,stimuli/objects/mortarandpestle.jpg,right,new,310,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.15749,1,0.89261,0,43,43,66,1,stimuli/objects/tricornhat.jpg,right,new,227,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.391835,4,0.611525,0,44,44,62,1,stimuli/objects/painting.jpg,right,new,223,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.38648,2,1.271065,0,45,45,141,1,stimuli/objects/gong.jpg,left,old,302,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.07107,2,0.45367,0,46,46,140,1,stimuli/objects/treadmill.jpg,left,old,301,,,,,,,,
,,,,,,,,6,2020-12-22_10h32.33.088,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.752605,1,0.597305,0,47,47,5,1,stimuli/objects/wheelchair.jpg,left,old,166,,,,,,,,
