instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,3.76,4,5.166,0,0,0,111,1,stimuli/objects/jellybean.jpg,left,old,272,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,2.192,2,2.056,0,1,1,109,1,stimuli/objects/spiderweb.jpg,right,new,270,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,3.018,2,2.021,0,2,2,107,1,stimuli/objects/tambourine03.jpg,right,new,268,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.893,4,1.74,0,3,3,10,1,stimuli/objects/spicerack.jpg,left,old,171,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.118,2,2.691,0,4,4,115,1,stimuli/objects/witchhat.jpg,left,old,276,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.646,3,2.967,0,5,5,30,1,stimuli/objects/key07.jpg,left,old,191,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.477,4,1.034,0,6,6,87,1,stimuli/objects/chipmunk.jpg,left,old,248,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.414,2,1.275,0,7,7,16,1,stimuli/objects/dartboard.jpg,left,old,177,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.388,2,1.924,0,8,8,46,1,stimuli/objects/kneepad01c.jpg,right,new,207,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.127,2,1.329,0,9,9,113,1,stimuli/objects/bluejay.jpg,right,new,274,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.42,2,0.639,0,10,10,110,1,stimuli/objects/funnel.jpg,right,new,271,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.343,2,1.233,0,11,11,25,1,stimuli/objects/scooter.jpg,right,new,186,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.599,2,1.163,0,12,12,23,1,stimuli/objects/graduationcap.jpg,right,new,184,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.978,2,0.88,0,13,13,80,1,stimuli/objects/floorlamp.jpg,right,new,241,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.934,2,1.49,0,14,14,131,1,stimuli/objects/boxingglove01.jpg,right,new,292,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.874,1,0.777,0,15,15,145,1,stimuli/objects/rooster.jpg,right,new,306,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.194,4,1.409,0,16,16,90,1,stimuli/objects/battleaxe.jpg,left,old,251,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.441,1,0.879,0,17,17,129,1,stimuli/objects/escalator.jpg,left,old,290,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.122,1,0.311,0,18,18,51,1,stimuli/objects/kangaroo01.jpg,right,new,212,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.007,1,0.35,0,19,19,138,1,stimuli/objects/ladybug03.jpg,right,new,299,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,0.932,4,0.397,0,20,20,44,1,stimuli/objects/donut.jpg,left,old,205,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.878,1,0.606,0,21,21,98,1,stimuli/objects/cashregister01.jpg,left,old,259,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.775,1,0.409,0,22,22,7,1,stimuli/objects/bolt01a.jpg,left,old,168,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.662,1,0.564,0,23,23,149,1,stimuli/objects/mortarandpestle.jpg,right,new,310,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.798,1,0.774,0,24,24,29,1,stimuli/objects/steeringwheel.jpg,right,new,190,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.18,4,0.364,0,25,25,56,1,stimuli/objects/toyanimal05.jpg,left,old,217,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.945,2,0.364,0,26,26,95,1,stimuli/objects/sealion.jpg,right,new,256,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,2.2,2,0.661,0,27,27,77,1,stimuli/objects/electricguitar01.jpg,left,old,238,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.968,2,1.462,0,28,28,133,1,stimuli/objects/kiwi03.jpg,right,new,294,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.806,2,1.304,0,29,29,66,1,stimuli/objects/tricornhat.jpg,right,new,227,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.127,4,0.356,0,30,30,147,1,stimuli/objects/bleachers.jpg,left,old,308,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,3.211,2,1.142,0,31,31,54,1,stimuli/objects/acousticguitar02.jpg,right,new,215,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.093,1,0.995,0,32,32,20,1,stimuli/objects/toysoldier01b.jpg,right,new,181,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.876,1,1.127,0,33,33,15,1,stimuli/objects/stool01.jpg,left,old,176,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.228,1,0.294,0,34,34,88,1,stimuli/objects/toilet.jpg,right,new,249,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.057,2,0.226,0,35,35,52,1,stimuli/objects/acorn.jpg,left,old,213,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.425,3,0.526,0,36,36,91,1,stimuli/objects/shed02.jpg,right,new,252,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.313,2,0.366,0,37,37,53,1,stimuli/objects/parachute.jpg,right,new,214,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.658,2,0.366,0,38,38,73,1,stimuli/objects/barrel01.jpg,left,old,234,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.847,2,0.375,0,39,39,81,1,stimuli/objects/raccoon.jpg,right,new,242,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.472,4,0.332,0,40,40,72,1,stimuli/objects/doghouse.jpg,left,old,233,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.021,2,0.847,0,41,41,74,1,stimuli/objects/turnstile.jpg,right,new,235,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.401,2,1.26,0,42,42,142,1,stimuli/objects/lightswitch01.jpg,left,old,303,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,0.995,4,0.47,0,43,43,47,1,stimuli/objects/candycane01a.jpg,left,old,208,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.928,2,0.324,0,44,44,43,1,stimuli/objects/poolcue.jpg,right,new,204,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.127,4,0.101,0,45,45,128,1,stimuli/objects/chime.jpg,left,old,289,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.088,4,0.367,0,46,46,151,1,stimuli/objects/jellyfish.jpg,left,old,312,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,2.128,3,1.646,0,47,47,102,1,stimuli/objects/baseballglove.jpg,left,old,263,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.718,2,1.388,0,48,48,39,1,stimuli/objects/desktopcomputer.jpg,left,old,200,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.018,3,1.445,0,49,49,13,1,stimuli/objects/sailboat.jpg,left,old,174,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,0.724,1,0.818,0,50,50,64,1,stimuli/objects/trojanhorse.jpg,right,new,225,,,,,,,,
,,,,,,,,8,2021-01-15_16h40.38.081,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.27,2,0.466,0,51,51,60,1,stimuli/objects/hammerheadshark.jpg,right,new,221,,,,,,,,
