instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.057905,4,6.05519,0,0,0,72,1,stimuli/objects/doghouse.jpg,left,old,233,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.33155,3,3.284135,0,1,1,86,1,stimuli/objects/trafficlight.jpg,left,old,247,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.22133,1,0.99677,0,2,2,81,1,stimuli/objects/raccoon.jpg,right,new,242,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.35966,4,1.55662,0,3,3,95,1,stimuli/objects/sealion.jpg,right,new,256,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.94898,3,1.05759,0,4,4,10,1,stimuli/objects/spicerack.jpg,left,old,171,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.99277,4,0.944245,0,5,5,42,1,stimuli/objects/asianelephant.jpg,left,old,203,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.72946,2,1.69959,0,6,6,94,1,stimuli/objects/scorpion.jpg,right,new,255,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.99784,4,1.0163,0,7,7,110,1,stimuli/objects/funnel.jpg,right,new,271,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.624985,3,0.51231,0,8,8,140,1,stimuli/objects/treadmill.jpg,left,old,301,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.866035,1,0.305325,0,9,9,158,1,stimuli/objects/bowrake.jpg,right,new,319,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.29063,2,0.999685,0,10,10,32,1,stimuli/objects/cross01.jpg,right,new,193,,,,,,,,
,,,,,,,,1,2020-12-15_14h09.35.967,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.21192,3,0.689295,0,11,11,66,1,stimuli/objects/tricornhat.jpg,right,new,227,,,,,,,,
