instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.421,4,3.963,0,0,0,156,1,stimuli/objects/skateboard.jpg,left,old,157,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.245,4,1.057,0,1,1,88,1,stimuli/objects/jackrabbit.jpg,left,old,89,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.784,3,2.438,0,2,2,110,1,stimuli/objects/foosballtable.jpg,right,new,111,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.682,4,1.348,0,3,3,80,1,stimuli/objects/tree.jpg,right,new,81,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.928,2,1.335,0,4,4,3,1,stimuli/objects/vacuumcleaner01.jpg,left,old,4,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.777,4,0.955,0,5,5,81,1,stimuli/objects/lighthouse.jpg,right,new,82,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.159,3,1.584,0,6,6,121,1,stimuli/objects/riverotter.jpg,right,new,122,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.562,3,0.856,0,7,7,96,1,stimuli/objects/awning.jpg,right,new,97,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.626,2,1.305,0,8,8,20,1,stimuli/objects/accordion01.jpg,right,new,21,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.397,2,0.791,0,9,9,86,1,stimuli/objects/chimney.jpg,right,new,87,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.586,2,0.641,0,10,10,21,1,stimuli/objects/tire.jpg,right,new,22,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.383,2,0.466,0,11,11,71,1,stimuli/objects/bed.jpg,right,new,72,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.943,3,0.848,0,12,12,70,1,stimuli/objects/balcony02.jpg,left,old,71,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.804,4,1.022,0,13,13,28,1,stimuli/objects/seaturtle.jpg,left,old,29,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.222,4,1.043,0,14,14,43,1,stimuli/objects/ostrich.jpg,right,new,44,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.393,3,1.069,0,15,15,24,1,stimuli/objects/icecube02.jpg,right,new,25,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.718,4,0.705,0,16,16,84,1,stimuli/objects/winniethepooh.jpg,left,old,85,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.883,3,0.773,0,17,17,32,1,stimuli/objects/moth.jpg,right,new,33,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.819,2,0.383,0,18,18,151,1,stimuli/objects/contactlens.jpg,left,old,152,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.874,2,1.473,0,19,19,141,1,stimuli/objects/stroller.jpg,right,new,142,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.817,2,0.681,0,20,20,45,1,stimuli/objects/fridge.jpg,left,old,46,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.787,3,0.455,0,21,21,9,1,stimuli/objects/rose.jpg,right,new,10,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.211,3,2.031,0,22,22,116,1,stimuli/objects/toucan.jpg,right,new,117,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.524,3,0.561,0,23,23,111,1,stimuli/objects/platypus.jpg,right,new,112,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.006,3,0.397,0,24,24,18,1,stimuli/objects/pingpongtable.jpg,right,new,19,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.515,3,0.487,0,25,25,138,1,stimuli/objects/cow.jpg,right,new,139,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.397,2,0.467,0,26,26,22,1,stimuli/objects/paperairplane.jpg,right,new,23,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.93,3,1.204,0,27,27,77,1,stimuli/objects/fishskeleton.jpg,left,old,78,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.111,2,0.946,0,28,28,36,1,stimuli/objects/christmaslights.jpg,left,old,37,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.379,3,0.964,0,29,29,155,1,stimuli/objects/calendar.jpg,right,new,156,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.377,2,0.973,0,30,30,132,1,stimuli/objects/shower.jpg,left,old,133,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,5.679,1,0.291,0,31,31,33,1,stimuli/objects/caribou02.jpg,right,new,34,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,3.494,2,1.305,0,32,32,55,1,stimuli/objects/drumstick.jpg,right,new,56,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.983,2,1.103,0,33,33,58,1,stimuli/objects/beaver.jpg,left,old,59,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.537,2,0.765,0,34,34,157,1,stimuli/objects/cookingpot.jpg,left,old,158,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.432,2,0.387,0,35,35,147,1,stimuli/objects/toiletbrush.jpg,right,new,148,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,3.133,2,0.356,0,36,36,104,1,stimuli/objects/porcupine.jpg,left,old,105,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,4.648,2,0.323,0,37,37,50,1,stimuli/objects/lionstatue.jpg,left,old,51,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,4.46,2,0.507,0,38,38,134,1,stimuli/objects/nunchuk.jpg,right,new,135,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.912,2,0.735,0,39,39,76,1,stimuli/objects/morningstar.jpg,right,new,77,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.643,4,1.607,0,40,40,44,1,stimuli/objects/artichoke01b.jpg,left,old,45,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.183,2,1.498,0,41,41,154,1,stimuli/objects/curtain.jpg,right,new,155,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.568,3,0.471,0,42,42,94,1,stimuli/objects/dandelion.jpg,right,new,95,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,3.413,4,0.521,0,43,43,143,1,stimuli/objects/faucet.jpg,right,new,144,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,4.22,3,1.416,0,44,44,146,1,stimuli/objects/ant.jpg,right,new,147,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,6.321,2,0.901,0,45,45,149,1,stimuli/objects/dolly01.jpg,right,new,150,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.766,2,0.173,0,46,46,130,1,stimuli/objects/tulip02.jpg,left,old,131,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.132,2,0.202,0,47,47,23,1,stimuli/objects/lollipop04.jpg,right,new,24,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.7,3,0.366,0,48,48,66,1,stimuli/objects/shipinabottle.jpg,right,new,67,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,5.672,2,2.324,0,49,49,78,1,stimuli/objects/monarchbutterfly.jpg,left,old,79,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.01,2,2.931,0,50,50,68,1,stimuli/objects/cuttlefish.jpg,left,old,69,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.648,2,0.601,0,51,51,62,1,stimuli/objects/trophy01.jpg,left,old,63,,,,,,,,
,,,,,,,,10,2021-01-15_15h10.03.937,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.867,2,0.456,0,52,52,114,1,stimuli/objects/star.jpg,left,old,115,,,,,,,,
