myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,pract_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
1,"[0,0,0,1,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,1,1,0,7,7,7,1,8,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,down,stimuli/objects/chainlinkfence.jpg,1,0,stimuli/red_butterfly.png,1.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,8,8,8,1,9,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,down,stimuli/objects/curlingiron01a.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,1,1,0,9,9,9,1,10,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,right,stimuli/objects/fingernail02.jpg,1,0,stimuli/yellow_butterfly.png,1.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,10,10,10,1,11,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/white_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,down,stimuli/objects/barbecuelighter.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,11,11,11,1,12,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,left,stimuli/objects/coatrack.jpg,0,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,1,0,0,12,12,12,1,13,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,down,stimuli/objects/bulletbelt.jpg,0,0,stimuli/red_butterfly.png,1.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,1,1,0,13,13,13,1,14,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,stimuli/white_flower.png,down,stimuli/objects/skippingrope.jpg,1,0,stimuli/red_butterfly.png,1.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,14,14,14,1,15,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,right,stimuli/objects/rowboat.jpg,1,0,stimuli/red_butterfly.png,2.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,15,15,15,1,16,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,down,stimuli/objects/pipewrench.jpg,1,0,stimuli/red_butterfly.png,1.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,16,16,16,1,17,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,up,stimuli/objects/toyfiretruck.jpg,1,0,stimuli/red_butterfly.png,2.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
