instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.794815,2,1.70289,0,0,0,91,1,stimuli/objects/shed02.jpg,right,new,252,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.72139,2,1.08535,0,1,1,11,1,stimuli/objects/dolphin01.jpg,left,old,172,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.514245,3,1.13354,0,2,2,92,1,stimuli/objects/mirror02.jpg,left,old,253,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.58062,4,2.81017,0,3,3,65,1,stimuli/objects/spacerover.jpg,right,new,226,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.524505,4,1.5788,0,4,4,46,1,stimuli/objects/kneepad01c.jpg,right,new,207,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,2.012045,3,0.77222,0,5,5,58,1,stimuli/objects/tricycle.jpg,left,old,219,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.907825,4,0.51154,0,6,6,37,1,stimuli/objects/football.jpg,left,old,198,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.831775,2,0.273765,0,7,7,13,1,stimuli/objects/sailboat.jpg,left,old,174,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.078465,2,0.24653,0,8,8,111,1,stimuli/objects/jellybean.jpg,left,old,272,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.47822,3,0.12815,0,9,9,23,1,stimuli/objects/graduationcap.jpg,right,new,184,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.163845,2,0.000775,0,10,10,155,1,stimuli/objects/fishingrod.jpg,left,old,316,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.22872,1,0.056925,0,11,11,126,1,stimuli/objects/birdfeeder.jpg,left,old,287,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.87444,4,0.357135,0,12,12,76,1,stimuli/objects/statue.jpg,right,new,237,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.788905,4,0.341555,0,13,13,80,1,stimuli/objects/floorlamp.jpg,right,new,241,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.21836,3,0.27354,0,14,14,99,1,stimuli/objects/bacon.jpg,left,old,260,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.56721,2,0.714235,0,15,15,38,1,stimuli/objects/bread.jpg,right,new,199,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.13167,3,0.30745,0,16,16,57,1,stimuli/objects/spaghetti01.jpg,right,new,218,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.16098,1,0.666405,0,17,17,71,1,stimuli/objects/tennisracket.jpg,right,new,232,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.004755,3,0.2803,0,18,18,34,1,stimuli/objects/shelves.jpg,left,old,195,,,,,,,,
,,,,,,,,2,2020-12-15_15h41.29.887,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.127355,4,0.25639,0,19,19,69,1,stimuli/objects/bumpercar.jpg,right,new,230,,,,,,,,
