instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.091,3,5.256,0,0,0,134,1,stimuli/objects/nunchuk.jpg,right,new,135,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,3.47,3,2.901,0,1,1,107,1,stimuli/objects/musicstand.jpg,left,old,108,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,3.844,2,2.777,0,2,2,148,1,stimuli/objects/peacock.jpg,right,new,149,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,right,1.804,3,2.329,0,3,3,155,1,stimuli/objects/calendar.jpg,right,new,156,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,3.585,2,2.897,0,4,4,111,1,stimuli/objects/platypus.jpg,right,new,112,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.581,3,1.868,0,5,5,157,1,stimuli/objects/cookingpot.jpg,left,old,158,,,,,,,,
,,,,,,,,5,2020-12-18_16h43.28.740,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,MacIntel,60,left,1.773,3,1.306,0,6,6,69,1,stimuli/objects/granolabar01.jpg,left,old,70,,,,,,,,
