myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,pract_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
0,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/corn02.jpg,0,1,stimuli/white_butterfly.png,,,,,,,left,0,2.248645,0,33,33,33,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/licenseplate.jpg,1,1,stimuli/grey_butterfly.png,,,,,,,up,1,0.85005,0,34,34,34,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,left,stimuli/objects/masquerademask01.jpg,1,1,stimuli/grey_butterfly.png,,,,,,,left,1,0.88544,0,35,35,35,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/saxophone.jpg,1,1,stimuli/white_butterfly.png,,,,,,,right,1,0.49262,0,36,36,36,1,1,,,,,,,,,,,,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,down,stimuli/objects/butterfly4.jpg,0,1,stimuli/grey_butterfly.png,,,,,,,left,0,0.91589,0,37,37,37,1,1,,,,,,,,,,,,,,,,,,
0,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,up,stimuli/objects/smartboard.jpg,0,1,stimuli/white_butterfly.png,,,,,,,left,0,0.62204,0,38,38,38,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/mattress.jpg,1,1,stimuli/white_butterfly.png,,,,,,,up,1,0.55926,0,39,39,39,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/americanwhitepelican.jpg,1,1,stimuli/grey_butterfly.png,,,,,,,right,1,1.37289,0,40,40,40,1,1,,,,,,,,,,,,,,,,,,
1,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1]",,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,1,,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,left,stimuli/objects/wheelbarrow01.jpg,1,1,stimuli/white_butterfly.png,,,,,,,left,1,0.44823,0,41,41,41,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,32.539,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4.56739,0,0,0,0,1,stimuli/white_butterfly.png,,
,,,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.199435,0,1,1,1,1,stimuli/grey_butterfly.png,,
,,,,,,,,,,9,2021-01-14_11h08.17.235,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.51924
