instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.433,3,2.281,0,0,0,110,1,stimuli/objects/funnel.jpg,right,new,271,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.022,2,1.281,0,1,1,44,1,stimuli/objects/donut.jpg,left,old,205,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.098,3,1.096,0,2,2,103,1,stimuli/objects/seagull.jpg,left,old,264,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.011,4,0.5,0,3,3,22,1,stimuli/objects/crab01.jpg,left,old,183,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.742,3,1.516,0,4,4,106,1,stimuli/objects/squirrel.jpg,right,new,267,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.239,4,0.599,0,5,5,16,1,stimuli/objects/dartboard.jpg,left,old,177,,,,,,,,
,,,,,,,,7,2020-12-22_15h56.46.254,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.406,2,0.888,0,6,6,84,1,stimuli/objects/carbattery.jpg,right,new,245,,,,,,,,
