"PartNum","alpha","beta","PE","BIC","LL"
2,1,2.0560908312203,2,315.956249391145,-152.909220493352
3,0.777385023515031,3.09578503068783,2.98976407072024,211.853235335836,-100.857713465698
4,0.782384580971095,4.0430297503019,3.91448827495401,144.813659647835,-67.3379256216975
5,1,1.7001041937844,3,345.455904018317,-167.659047806938
6,0.948192450828812,2.38035330009292,2.16690757588928,261.232504376256,-125.547347985908
7,0.8335408220278,3.43131746368539,3.67757610115436,181.064222524687,-85.4632070601232
8,0.974519170456091,4.45859213082285,2.10592167887865,100.623711686493,-45.2429516410261
9,1,3.35950636265934,3,177.438999778505,-83.6505956870323
10,0.720571900996934,3.83206081241047,4.32128183161953,164.035760845957,-76.9489762207583
11,0.67569065423718,3.05540748298321,3.33407116567657,217.292384044563,-103.577287820061
