"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","P1","P2","P3","P4","Prob","Delta","uncertainty","uncertainty2","CPP","Delta1","Delta2","Delta3","Delta4"
2,1,3,"yellow_flower",1,0,0,0.69177,1,0,1,0,0,1,"toolbox02.jpg",4,0.431834504834681,0,0,0,0.25,0.25,0.25,0.25,0.25,NA,1,1.38629436111989,0.25,1,0,0,0
2,1,5,"green_flower",1,0,0,1.300895,2,0,2,0,0,1,"firehydrant.jpg",2,0.677187970103547,0,0,0,0.460281687965902,0.179906104011366,0.179906104011366,0.179906104011366,0.179906104011366,NA,0.9807261642922,1.28292993535962,0.460281687965902,0.568165495165319,0,0,0
2,2,4,"green_flower",3,0,0,1.38265,3,0,3,0,0,1,"shed02.jpg",2,0,0,0.431834504834681,0,0.25,0.25,0.25,0.25,0.25,NA,1,1.38629436111989,0.25,0,0,1,0
2,2,4,"red_flower",3,1,0.25,0.705845,4,0,4,0,0,1,"toucan.jpg",3,0,0,0.677187970103547,0,0.179906104011366,0.179906104011366,0.460281687965902,0.179906104011366,0.460281687965902,NA,0.9807261642922,1.28292993535962,0.115070421991476,0,0,0.568165495165319,0
2,1,2,"yellow_flower",1,0,0.2,0.937415,5,0,5,0,0,1,"skunk.jpg",4,0.81658934318856,0,0,0,0.592552652397446,0.135815782534185,0.135815782534185,0.135815782534185,0.135815782534185,NA,0.950432888944784,1.12354265566119,0.272741135054169,0.322812029896453,0,0,0
2,1,5,"blue_flower",1,1,0.333333333333333,1.841375,6,0,6,0,1,1,"motorcycle.jpg",1,0.895792393354132,0,0,0,0.663242768380431,0.112252410539856,0.112252410539856,0.112252410539856,0.663242768380431,NA,0.929456489112707,1.0088267345746,0.393006261587249,0.18341065681144,0,0,0
2,2,3,"green_flower",3,0,0.285714285714286,0.668035,7,0,7,0,1,1,"flipflop01b.jpg",2,0,0,0.81658934318856,0,0.135815782534185,0.135815782534185,0.592552652397446,0.135815782534185,0.135815782534185,NA,0.950432888944784,1.12354265566119,0.272741135054169,0,0,0.322812029896453,0
2,2,1,NA,3,0,0.25,NA,8,0,8,0,1,1,"corn02.jpg",NA,0,0,0.895792393354132,0,0.112252410539856,0.112252410539856,0.663242768380431,0.112252410539856,NA,NA,0.929456489112707,1.0088267345746,0.393006261587249,0,0,0.18341065681144,0
2,1,2,"blue_flower",1,1,0.333333333333333,0.535065,9,0,9,1,1,1,"birdfeeder.jpg",1,0.940792833570057,0,0,0,0.700582965513374,0.0998056781622086,0.0998056781622086,0.0998056781622086,0.700582965513374,NA,0.917234839399681,0.939312780682631,0.464656585527263,0.104207606645868,0,0,0
2,2,4,"green_flower",3,0,0.3,0.686855,10,0,10,1,1,1,"marble.jpg",2,0,0,0.940792833570057,0,0.0998056781622086,0.0998056781622086,0.700582965513374,0.0998056781622086,0.0998056781622086,NA,0.917234839399681,0.939312780682631,0.464656585527263,0,0,0.104207606645868,0
