"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile"
"2","grey_butterfly","2","red_flower","red_flower","1","0.818181818181818","0.72473","26","2","11","0","0","1","stool01.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.833333333333333","1.93107","27","2","12","0","0","1","butterfly1.jpg"
"2","white_butterfly","3","blue_flower","blue_flower","1","0.846153846153846","1.63175","28","2","13","0","1","1","desktopcomputer.jpg"
"2","white_butterfly","5","red_flower","blue_flower","0","0.785714285714286","1.459175","29","2","14","0","1","1","triangle.jpg"
"2","white_butterfly","5","blue_flower","blue_flower","1","0.8","0.878775","30","2","15","0","1","1","dartboard.jpg"
"2","grey_butterfly","5","blue_flower","red_flower","0","0.75","0.782865","31","2","16","0","1","1","electricguitar01.jpg"
"2","grey_butterfly","2","red_flower","red_flower","1","0.764705882352941","1.115775","32","2","17","0","1","1","doubledoors.jpg"
"2","grey_butterfly","5","red_flower","red_flower","1","0.777777777777778","0.55015","33","2","18","0","1","1","waterfountain02.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.789473684210526","0.573515","34","2","19","1","1","1","skiboot01a.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.8","0.5883","35","2","20","1","1","1","rockingchair.jpg"
"2","grey_butterfly","4","red_flower","red_flower","1","0.80952380952381","1.24097","36","2","21","1","1","1","trophy01.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.818181818181818","0.988135","37","2","22","1","1","1","fridge.jpg"
"2","white_butterfly","3","blue_flower","blue_flower","1","0.826086956521739","0.48223","38","2","23","1","1","1","filingcabinet.jpg"
"2","grey_butterfly","5","red_flower","red_flower","1","0.833333333333333","1.285795","39","2","24","1","1","1","crown.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.84","0.433035","40","2","25","1","2","1","file.jpg"
"2","grey_butterfly","5","red_flower","red_flower","1","0.846153846153846","0.870485","41","2","26","1","2","1","blender.jpg"
"2","white_butterfly","3","blue_flower","blue_flower","1","0.851851851851852","0.61911","42","2","27","1","2","1","sandcastle.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.857142857142857","0.616875","43","2","28","1","2","1","crab01.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.862068965517241","0.998295","44","2","29","1","2","1","butterfly1.jpg"
"2","grey_butterfly","4","red_flower","red_flower","1","0.866666666666667","0.878635","45","2","30","1","2","1","doghouse.jpg"
