"PartNum","beta","PE","BIC","LL"
2,2.87030328387204,0,305.579833542055,-150.255464669917
3,4.19530940022989,0,205.698457614156,-100.314776705968
4,5.11059224904245,0,128.084207310801,-61.5076515542903
5,2.53253969783073,0,332.296784640395,-163.613940219087
6,3.29841715550509,0,269.285113181528,-132.108104489654
7,4.68520131468052,0,160.432470573877,-77.6817831858285
8,4.88465556910548,0,130.589116358056,-62.7601060779181
9,4.48427466958823,0,173.223805287776,-84.0774505427779
10,4.95913367810915,0,141.952258948947,-68.4416773733633
11,3.99077657710425,0,213.686777349294,-104.308936573537
