"SubNum","butterfly","response","accuracy","cumAcc","RT","trialNum","listN","trialtfromchange"
"6","white_butterfly","2","1",0.833333333333333,0.91326,6,1,6
"6","grey_butterfly","3","1",0.857142857142857,1.249345,7,1,7
"6","grey_butterfly","4","1",0.875,0.446105,8,1,8
"6","grey_butterfly","4","1",0.888888888888889,0.58302,9,1,9
"6","grey_butterfly","5","1",0.9,0.74688,10,1,10
"6","white_butterfly","5","1",0.909090909090909,0.698535,11,1,11
"6","white_butterfly","2","1",0.916666666666667,1.208495,12,1,12
"6","white_butterfly","4","1",0.923076923076923,1.45379,13,1,13
"6","white_butterfly","3","1",0.928571428571429,0.78079,14,1,14
"6","grey_butterfly","2","1",0.933333333333333,0.836925,15,1,15
"6","grey_butterfly","2","0",0.875,1.37682,16,1,16
"6","grey_butterfly","3","1",0.882352941176471,1.38011,17,1,17
"6","white_butterfly","2","1",0.888888888888889,0.96882,18,1,18
"6","white_butterfly","5","1",0.894736842105263,1.14696,19,1,19
"6","white_butterfly","5","1",0.9,0.551845,20,1,20
"6","white_butterfly","4","1",0.904761904761905,0.56412,21,1,21
"6","grey_butterfly","5","1",0.909090909090909,0.44993,22,1,22
"6","grey_butterfly","5","1",0.91304347826087,0.59594,23,1,23
"6","grey_butterfly","2","0",0.875,0.914665,24,1,24
"6","white_butterfly","4","1",0.88,0.53178,25,1,25
"6","white_butterfly","2","1",0.884615384615385,1.01754,26,1,26
"6","grey_butterfly","4","1",0.888888888888889,0.520195,27,1,27
"6","white_butterfly","2","1",0.892857142857143,0.63088,28,1,28
"6","grey_butterfly","3","1",0.896551724137931,0.73611,29,1,29
"6","white_butterfly","3","1",0.9,0.86582,30,1,30
"6","white_butterfly","2","0",0.870967741935484,0.71208,31,1,31
"6","grey_butterfly","4","0",0.84375,0.532855,32,1,32
"6","white_butterfly","2","1",0.848484848484849,1.250245,33,1,33
"6","white_butterfly","3","0",0.823529411764706,1.13864,34,1,34
"6","grey_butterfly","5","1",0.828571428571429,1.065455,35,1,35
"6","grey_butterfly","2","0",0.805555555555556,0.88214,36,1,36
"6","white_butterfly","4","1",0.810810810810811,0.979105,37,1,37
"6","grey_butterfly","3","0",0.789473684210526,0.5405,38,1,38
"6","white_butterfly","3","0",0.769230769230769,0.78104,39,1,39
"6","white_butterfly","5","1",0.775,1.57244,40,1,40
"6","grey_butterfly","4","1",0.780487804878049,1.25113,41,1,41
"6","white_butterfly","3","1",0.785714285714286,1.085475,42,1,42
"7","grey_butterfly","3","0",0,0.999,1,1,1
"7","grey_butterfly","3","1",0.5,0.881,2,1,2
"7","grey_butterfly","3","1",0.666666666666667,0.604,3,1,3
"7","white_butterfly","4","1",0.75,0.75,4,1,4
"7","grey_butterfly","4","1",0.8,0.598,5,1,5
"7","white_butterfly","2","1",0.833333333333333,1.01,6,1,6
"7","grey_butterfly","3","1",0.857142857142857,0.681,7,1,7
"7","grey_butterfly","4","1",0.875,0.781,8,1,8
"7","grey_butterfly","4","1",0.888888888888889,0.721,9,1,9
"7","grey_butterfly","5","1",0.9,0.689,10,1,10
"7","white_butterfly","3","0",0.818181818181818,0.883,11,1,11
"7","white_butterfly","2","1",0.833333333333333,1.02,12,1,12
"7","white_butterfly","4","1",0.846153846153846,0.847,13,1,13
"7","white_butterfly","3","1",0.857142857142857,1.131,14,1,14
"7","grey_butterfly","4","0",0.8,0.798,15,1,15
"7","grey_butterfly","5","1",0.8125,1.089,16,1,16
"7","grey_butterfly","3","1",0.823529411764706,0.848,17,1,17
"7","white_butterfly","2","1",0.833333333333333,1.338,18,1,18
"7","white_butterfly","5","1",0.842105263157895,0.947,19,1,19
"7","white_butterfly","5","1",0.85,0.663,20,1,20
"7","white_butterfly","4","1",0.857142857142857,0.749,21,1,21
"7","grey_butterfly","5","1",0.863636363636364,0.616,22,1,22
"7","grey_butterfly","5","1",0.869565217391304,0.865,23,1,23
"7","grey_butterfly","2","0",0.833333333333333,0.85,24,1,24
"7","white_butterfly","4","1",0.84,0.753,25,1,25
"7","white_butterfly","2","1",0.846153846153846,0.9,26,1,26
"7","grey_butterfly","4","1",0.851851851851852,0.567,27,1,27
"7","white_butterfly","2","1",0.857142857142857,0.832,28,1,28
"7","grey_butterfly","3","1",0.862068965517241,0.782,29,1,29
"7","white_butterfly","3","1",0.866666666666667,0.712,30,1,30
"7","white_butterfly","2","0",0.838709677419355,0.731,31,1,31
"7","grey_butterfly","4","0",0.8125,0.68,32,1,32
"7","white_butterfly","2","1",0.818181818181818,0.783,33,1,33
"7","white_butterfly","3","0",0.794117647058823,0.933,34,1,34
"7","grey_butterfly","5","1",0.8,0.718,35,1,35
"7","grey_butterfly","3","1",0.805555555555556,0.63,36,1,36
"7","white_butterfly","4","1",0.810810810810811,0.601,37,1,37
"7","grey_butterfly","3","0",0.789473684210526,0.447,38,1,38
"7","white_butterfly","3","0",0.769230769230769,0.808,39,1,39
"7","white_butterfly","5","1",0.775,0.565,40,1,40
"7","grey_butterfly","4","1",0.780487804878049,0.645,41,1,41
"7","white_butterfly","3","1",0.785714285714286,0.602,42,1,42
"8","grey_butterfly","4","0",0,1.041,1,1,1
"8","grey_butterfly","3","1",0.5,0.54,2,1,2
"8","grey_butterfly","3","1",0.666666666666667,0.462,3,1,3
"8","white_butterfly","5","0",0.5,1.008,4,1,4
"8","grey_butterfly","4","1",0.6,0.491,5,1,5
"8","white_butterfly","4","0",0.5,1.883,6,1,6
"8","grey_butterfly","3","1",0.571428571428571,0.456,7,1,7
"8","grey_butterfly","4","1",0.625,0.527,8,1,8
"8","grey_butterfly","4","1",0.666666666666667,0.505,9,1,9
"8","grey_butterfly","5","1",0.7,0.85,10,1,10
"8","white_butterfly","5","1",0.727272727272727,1.323,11,1,11
"8","white_butterfly","2","1",0.75,2.079,12,1,12
"8","white_butterfly","4","1",0.769230769230769,1.177,13,1,13
"8","white_butterfly","3","1",0.785714285714286,0.604,14,1,14
"8","grey_butterfly","2","1",0.8,1.193,15,1,15
"8","grey_butterfly","5","1",0.8125,1.687,16,1,16
"8","grey_butterfly","3","1",0.823529411764706,0.651,17,1,17
"8","white_butterfly","2","1",0.833333333333333,1.302,18,1,18
"8","white_butterfly","5","1",0.842105263157895,0.978,19,1,19
"8","white_butterfly","5","1",0.85,0.897,20,1,20
"8","white_butterfly","4","1",0.857142857142857,0.645,21,1,21
"8","grey_butterfly","5","1",0.863636363636364,0.781,22,1,22
"8","grey_butterfly","5","1",0.869565217391304,0.713,23,1,23
"8","grey_butterfly","2","0",0.833333333333333,0.873,24,1,24
"8","white_butterfly","4","1",0.84,1.152,25,1,25
"8","white_butterfly","2","1",0.846153846153846,1.345,26,1,26
"8","grey_butterfly","4","1",0.851851851851852,1.462,27,1,27
"8","white_butterfly","2","1",0.857142857142857,0.654,28,1,28
"8","grey_butterfly","3","1",0.862068965517241,0.994,29,1,29
"8","white_butterfly","3","1",0.866666666666667,0.962,30,1,30
"8","white_butterfly","2","0",0.838709677419355,1.48,31,1,31
"8","grey_butterfly","4","0",0.8125,1.544,32,1,32
"8","white_butterfly","2","1",0.818181818181818,0.859,33,1,33
"8","white_butterfly","3","0",0.794117647058823,1.181,34,1,34
"8","grey_butterfly","5","1",0.8,1.379,35,1,35
"8","grey_butterfly","3","1",0.805555555555556,0.707,36,1,36
"8","white_butterfly","4","1",0.810810810810811,0.79,37,1,37
"8","grey_butterfly","3","0",0.789473684210526,0.872,38,1,38
"8","white_butterfly","3","0",0.769230769230769,0.824,39,1,39
"8","white_butterfly","5","1",0.775,1.376,40,1,40
"8","grey_butterfly","4","1",0.780487804878049,0.707,41,1,41
"8","white_butterfly","3","1",0.785714285714286,0.794,42,1,42
"9","grey_butterfly","3","0",0,1.4138,1,1,1
"9","grey_butterfly","3","1",0.5,0.584025,2,1,2
"9","grey_butterfly","3","1",0.666666666666667,0.494235,3,1,3
"9","white_butterfly","4","1",0.75,0.877525,4,1,4
"9","grey_butterfly","4","1",0.8,0.74294,5,1,5
"9","white_butterfly","2","1",0.833333333333333,0.968105,6,1,6
"9","grey_butterfly","3","1",0.857142857142857,0.99401,7,1,7
"9","grey_butterfly","4","1",0.875,0.44587,8,1,8
"9","grey_butterfly","4","1",0.888888888888889,0.59573,9,1,9
"9","grey_butterfly","5","1",0.9,0.79112,10,1,10
"9","white_butterfly","3","0",0.818181818181818,1.228165,11,1,11
"9","white_butterfly","2","1",0.833333333333333,1.24822,12,1,12
"9","white_butterfly","4","1",0.846153846153846,0.53074,13,1,13
"9","white_butterfly","3","1",0.857142857142857,0.812525,14,1,14
"9","grey_butterfly","2","1",0.866666666666667,0.70525,15,1,15
"9","grey_butterfly","5","1",0.875,1.34619,16,1,16
"9","grey_butterfly","3","1",0.882352941176471,0.5941,17,1,17
"9","white_butterfly","2","1",0.888888888888889,1.193865,18,1,18
"9","white_butterfly","5","1",0.894736842105263,1.63421,19,1,19
"9","white_butterfly","5","1",0.9,0.487075,20,1,20
"9","white_butterfly","4","1",0.904761904761905,1.433605,21,1,21
"9","grey_butterfly","5","1",0.909090909090909,0.459145,22,1,22
"9","grey_butterfly","5","1",0.91304347826087,0.556355,23,1,23
"9","grey_butterfly","2","0",0.875,1.100525,24,1,24
