"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","P1","P2","P3","P4","Prob","Delta","uncertainty","uncertainty2","CPP"
2,2,4,"red_flower","red_flower",1,0.75,0.50491,23,2,8,0,0,1,"scalpel.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,1,5,"blue_flower","blue_flower",1,0.777777777777778,0.67293,24,2,9,0,0,1,"sailboat.jpg",1,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,1,2,"blue_flower","blue_flower",1,0.8,1.51986,25,2,10,0,0,1,"snowman.jpg",1,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,2,"red_flower","red_flower",1,0.818181818181818,0.72473,26,2,11,0,0,1,"stool01.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,3,"red_flower","red_flower",1,0.833333333333333,1.93107,27,2,12,0,0,1,"butterfly1.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,1,3,"blue_flower","blue_flower",1,0.846153846153846,1.63175,28,2,13,0,1,1,"desktopcomputer.jpg",1,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,1,5,"red_flower","blue_flower",0,0.785714285714286,1.459175,29,2,14,0,1,1,"triangle.jpg",3,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.0924611032711297,0,0.909691292169593,0.895201652524789,NA
2,1,5,"blue_flower","blue_flower",1,0.8,0.878775,30,2,15,0,1,1,"dartboard.jpg",1,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,5,"blue_flower","red_flower",0,0.75,0.782865,31,2,16,0,1,1,"electricguitar01.jpg",1,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.0924611032711297,0,0.909691292169593,0.895201652524789,NA
2,2,2,"red_flower","red_flower",1,0.764705882352941,1.115775,32,2,17,0,1,1,"doubledoors.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,5,"red_flower","red_flower",1,0.777777777777778,0.55015,33,2,18,0,1,1,"waterfountain02.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,3,"red_flower","red_flower",1,0.789473684210526,0.573515,34,2,19,1,1,1,"skiboot01a.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,3,"red_flower","red_flower",1,0.8,0.5883,35,2,20,1,1,1,"rockingchair.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,4,"red_flower","red_flower",1,0.80952380952381,1.24097,36,2,21,1,1,1,"trophy01.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,2,3,"red_flower","red_flower",1,0.818181818181818,0.988135,37,2,22,1,1,1,"fridge.jpg",3,0,0,1,0,0.0924611032711297,0.0924611032711297,0.722616690186611,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
2,1,3,"blue_flower","blue_flower",1,0.826086956521739,0.48223,38,2,23,1,1,1,"filingcabinet.jpg",1,1,0,0,0,0.722616690186611,0.0924611032711297,0.0924611032711297,0.0924611032711297,0.722616690186611,0,0.909691292169593,0.895201652524789,NA
